Quận,Phường,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Phòng Khách,Car room,Số phòng ngủ,WC,Diện tích, Dài ,    Rộng    ,Giá/m2
7,19,3,1,1,1,0,2,1,30,9,3.8,71.67
6,6,3,1,5,2,1,4,5,54,47.47,3.9,200
1,5,3,1,3,1,0,2,4,30,9,3.85,60
4,3,2,1,3,1,1,4,2,196,32.67,6,80.61
4,8,3,1,5,2,0,4,3,37,15.37,3.51,78.38
7,5,3,1,5,2,0,4,5,45,7.5,6,128.89
8,5,3,1,5,2,0,3,5,25,7,3.32,96
10,6,3,1,5,2,0,3,5,34,19.3,2.99,63.24
8,7,3,1,4,1,0,4,4,34,11.56,3.45,120.59
10,9,2,1,5,1,0,4,4,40,10,3.43,50
10,4,3,1,4,1,0,3,3,33,9.5,3.28,65.15
8,13,3,2,2,1,0,2,3,30,7,3.55,28.33
7,19,2,1,2,1,1,2,3,36,10,3.49,138.89
11,12,3,1,2,1,1,3,4,81,22.5,3.88,39.51
1,3,3,1,2,1,0,3,4,27,8.7,3.89,166.67
11,1,2,1,5,2,1,3,3,45,9,3.65,64.44
8,8,3,1,1,1,0,3,1,30,7,2.64,95
6,10,3,1,4,1,0,2,2,30,10.14,3.74,86.67
10,4,3,1,4,1,0,4,4,45,42.07,3.49,62.22
10,6,3,1,4,1,0,3,3,36,21.91,3.79,59.72
6,6,2,4,7,1,0,8,7,33,10,2.61,130.3
28,9,3,1,3,1,0,3,4,36,12,2.9,55.22
6,14,3,1,2,1,0,3,2,31,11.1,3.53,74.19
6,6,2,4,8,2,0,10,7,62,17,3.94,282.26
7,17,3,1,4,1,0,3,4,35,8.75,2.37,68.57
8,8,3,1,4,1,1,3,2,48,26.75,4,68.75
6,18,3,4,1,1,0,3,1,55,15,3.42,54.55
10,15,3,1,4,1,0,4,3,60,15,3.52,83.33
8,5,3,1,5,1,0,3,5,36,9,3.97,76.39
10,9,3,1,5,1,1,4,3,50,37.65,3.55,108
10,15,2,1,2,1,1,2,4,45,13,3.46,122.22
9,3,3,4,1,1,0,2,1,35,10,3.64,82.86
6,10,2,1,6,1,0,6,6,60,8,8,483.33
8,9,3,1,3,1,0,2,2,65,23.78,3.8,52.31
27,3,3,4,6,2,0,4,6,30,8.04,2.41,51.67
8,1,3,4,6,1,0,5,6,32,8,3.78,85.94
1,6,3,1,5,1,0,6,3,47,24.15,2.31,101.06
11,7,2,1,1,1,0,2,1,58,16.57,2.5,71.55
5,8,2,1,3,1,0,4,4,42,4,9,154.76
10,5,3,4,3,1,0,4,4,32.1,9.72,3.38,50
12,2,3,1,2,1,1,3,2,60,15,3.93,41.67
9,7,3,1,3,1,0,5,2,38,17.98,3.45,100
8,8,3,1,4,1,1,4,3,49,39.96,3.07,97.96
10,16,3,4,1,1,0,3,1,32,8,2.34,56.25
10,15,2,1,5,2,1,4,3,37,11,3.38,116.22
1,3,3,1,5,2,0,5,3,61,4.6,13.26,116.39
8,1,3,4,1,1,0,3,1,35,17.43,3.97,75.71
8,8,3,1,5,2,0,3,5,30,10.23,3.51,95
11,7,3,1,5,2,0,4,4,35,8.75,2.41,62.86
7,1,3,1,3,1,0,2,3,23,8,3.23,82.61
1,14,3,1,4,1,0,5,4,38,37.15,3.91,101.32
9,6,2,1,4,1,1,4,2,40,4,3.56,140
1,11,3,1,1,1,0,2,1,30,13.65,3.68,98.33
3,6,1,1,5,2,2,6,3,92,18,5.6,146.74
8,3,3,1,6,2,0,4,4,30,18.63,3.27,91.67
8,8,4,1,3,1,1,3,2,48,26.39,3.72,65.63
5,1,2,1,4,1,0,3,2,47,11.7,2.47,102.13
5,4,3,1,4,1,0,4,4,43,11,3.64,90.7
9,3,3,1,4,1,0,3,3,40,26.84,3.57,97.5
6,12,3,1,3,1,0,3,3,35,33.61,3.12,97.14
1,6,3,1,4,1,0,4,4,85,14.17,6,108.24
5,6,3,1,4,1,0,4,2,56,15,3.79,81.25
7,3,3,1,5,2,0,3,3,25,11.44,3.58,82
4,12,3,1,5,2,0,3,5,30,7.5,3.51,75
12,5,3,1,5,1,0,4,4,36,9,3.88,73.61
9,2,3,1,5,2,0,6,5,35,24.42,3.63,100
3,7,3,1,1,1,0,3,1,44,6.29,7,56.82
3,1,3,1,5,1,0,4,3,44,12,3.97,154.55
10,14,3,1,5,1,0,3,4,30,10,3.84,95
4,12,3,1,5,2,0,4,3,37,9,2.86,67.57
12,3,3,1,6,2,1,10,5,56,9,6,130.36
3,1,3,4,3,1,0,4,4,42,15.99,3.8,154.76
8,10,2,4,4,1,1,4,2,34,24.25,3.89,83.82
6,8,3,1,5,2,0,3,3,30,7,3.54,71.67
7,6,3,1,1,1,0,2,1,40,28.38,2.7,65
4,6,2,1,5,1,1,4,5,46,8,6,100
10,16,3,4,2,1,0,3,2,32,8,3.51,43.75
6,8,3,1,3,1,0,2,2,24,6,3.65,93.75
1,7,3,1,3,1,0,2,4,31,17.85,3.02,100
10,11,3,4,5,1,0,4,3,41,10,3.62,51.22
10,8,2,1,6,1,0,7,5,36,10,3.88,152.78
11,12,3,1,5,1,0,3,4,30,9.38,3.96,90
10,16,3,4,4,1,0,4,2,36,9,3.27,52.78
8,9,3,1,5,2,0,4,3,48,12,3.06,56.25
10,13,3,4,2,1,0,3,3,32,8,3.6,53.13
10,11,3,4,2,1,0,3,2,32,8,3.44,48.44
9,2,3,1,2,1,0,3,2,20,18.48,3.92,77.5
1,11,3,1,5,1,0,3,5,26,13.66,3.95,113.46
19,12,3,1,3,1,0,2,4,33,9,3.28,46.61
3,6,2,1,4,1,0,5,3,185,13,13,200
3,3,3,1,4,1,0,4,3,77,11,7,97.4
10,15,3,1,1,1,0,1,1,55,10,6,39.09
8,6,3,4,2,1,0,3,4,30,21.23,3.25,83.33
4,12,3,1,4,1,0,3,4,35,10,3.76,68
10,13,2,1,5,1,1,3,3,42,14.28,2.3,133.33
7,18,3,1,4,1,0,4,2,55,10,6,160
6,4,3,1,4,1,0,3,2,35,7,3.99,85.71
10,16,3,1,2,1,0,2,4,30,8,3.97,40
10,2,3,1,3,1,0,2,4,30,8,2.35,40.27
19,12,3,4,1,1,0,2,1,42,10,42,50
11,12,2,4,1,1,0,3,1,85,17,5,89.41
25,6,2,1,1,1,0,3,1,165,22.6,7.3,49.09
6,17,3,1,3,1,0,4,3,31,8,3.52,69.35
7,14,3,1,4,1,0,3,3,25,11.9,2.58,120
1,5,3,1,3,1,0,2,2,20,16.36,3.65,62.5
7,8,3,1,5,1,0,4,3,56,10,6,160.71
12,10,3,1,4,1,0,3,4,31,7.5,3.52,66.13
6,12,3,1,4,1,1,4,2,63,10,6.3,87.3
6,13,3,4,1,1,1,3,1,76,37.58,3.6,60.53
5,4,2,4,1,1,1,1,1,80,16,5,32.5
7,13,3,4,5,1,0,4,5,36,22.6,3.62,91.11
8,2,3,1,4,1,1,4,4,50,28.12,3.82,73
10,14,3,4,2,1,0,3,4,30,10.65,2.66,79.67
5,2,4,1,5,1,1,6,3,50,15,3.88,210
10,9,3,1,5,2,0,4,3,38,14.48,3.57,113.16
19,9,3,1,4,1,0,3,3,33,10,33,47.88
4,7,3,1,6,2,0,4,5,40,13.74,3.83,100
10,14,3,4,3,1,0,4,3,33,21.36,3.73,72.73
1,6,1,1,6,1,1,5,6,80,16,5,161.13
10,5,3,1,5,2,0,4,3,38,10,3.79,113.16
6,7,2,1,5,2,0,5,4,62,16,5,207.9
10,14,3,4,3,1,0,4,2,35,31,3.48,77.14
10,14,3,4,4,1,0,4,2,30,13.07,3.69,75
10,7,2,1,6,2,0,4,4,62,5,6,80.65
5,3,3,1,5,2,0,3,4,40,8,3.16,102.5
8,5,3,1,4,1,0,4,3,40,15.57,3.14,50
4,8,3,1,6,2,0,6,4,65,10.83,6,91.54
8,11,2,1,3,1,1,4,4,57,8.14,7,63.16
10,5,2,1,5,1,0,3,3,33,13.03,3.68,65.15
1,13,3,4,2,1,0,3,4,35,6,6,111.43
6,10,3,4,1,1,0,3,1,25,4,3.38,80
7,1,2,1,4,1,0,3,2,56,14,3.05,58.93
11,3,3,1,4,1,0,5,2,30,5.6,5.5,77.33
6,3,3,1,5,2,0,3,4,39,21.67,2.38,120.51
5,3,3,1,5,2,0,3,3,44,9.5,3.13,79.55
7,3,3,1,4,1,0,3,4,35,12.29,2.64,75.71
9,3,3,1,4,1,0,3,4,32,8,3.85,79.69
6,17,3,1,5,1,0,3,4,34,8,3.81,111.76
9,4,3,1,5,1,1,4,5,49,12.25,3.85,75.51
9,4,4,4,5,1,0,6,5,45,10,3.4,103.33
6,16,3,1,3,1,0,4,2,40,10,3.81,70
8,3,3,4,2,1,0,1,4,42,14.44,3.1,71.43
7,1,2,1,3,1,1,6,4,63,21,3.04,111.11
8,1,3,4,1,1,0,3,1,37,16.85,3.47,116.22
8,11,3,4,1,1,0,3,1,32,5,6,85.94
9,6,3,1,2,1,0,2,2,33,15.99,2.55,74.24
3,7,3,1,1,1,0,2,1,45,6.43,7,55.56
4,1,3,1,5,2,0,4,5,46,18.21,3.77,75
19,9,3,1,1,1,0,3,1,33,8.25,3.78,30.3
10,2,3,1,3,1,0,3,2,33,21.5,2.33,31.82
7,18,3,1,4,1,0,3,2,24,15.57,3.2,77.08
8,8,2,1,5,2,1,6,4,67,15,45,111.94
9,5,3,4,4,1,1,4,2,50,11,3.81,78
4,12,3,1,1,1,0,3,1,35,27.36,3.51,68
10,10,3,1,4,1,0,3,2,32,29.91,3.7,53.13
10,14,3,1,4,1,0,4,2,33,13.98,2.77,81.82
10,1,2,1,3,1,1,4,3,110,15.7,7,31.82
8,2,3,1,6,1,0,4,6,35,19.24,3.97,72.86
6,10,3,1,5,1,0,3,4,35,16.91,3.96,94.29
5,6,2,1,5,2,1,4,4,41,10,3.66,112.2
9,3,3,1,5,2,0,3,5,35,9,3.43,95.71
10,16,3,1,4,1,0,4,3,35,19.15,2.76,41.43
6,2,3,1,2,1,0,1,2,20,11.47,3.59,70
10,14,3,1,5,1,0,4,5,31,21.5,3.89,72.26
6,10,3,1,5,1,0,3,3,34,9,3.75,97.06
6,14,3,1,5,1,0,5,3,42,36.03,3.58,102.38
10,16,3,1,4,1,0,4,4,36,21.11,2.86,40.28
12,4,1,1,4,1,1,6,3,138,11.5,12,177.54
10,16,3,1,4,1,0,4,2,40,7.14,5.6,40.5
10,14,3,1,5,2,0,4,4,36,27.69,3.43,69.44
1,13,3,1,4,1,0,4,2,80,18,3.57,175
10,15,3,1,4,1,0,4,2,43,12,3.55,60.47
6,10,3,1,5,2,0,3,3,38,23.88,2.69,88.16
10,16,3,1,4,1,0,4,3,35,16.26,3.79,40
9,3,3,4,2,1,0,3,4,26,3.71,7,101.92
11,2,3,1,4,1,1,4,2,47,11,2.29,63.83
4,1,2,1,6,1,1,6,4,44,7,7,161.36
4,1,2,1,5,2,1,6,5,44,9,3.74,164.77
4,8,3,1,5,2,0,3,5,36,9,2.37,88.89
8,2,4,1,4,1,0,4,4,76,16.55,3.81,117.11
12,4,3,1,1,1,1,2,1,65,13,5,102
10,6,3,1,4,1,0,3,2,33,8,3.62,65.15
9,3,3,1,5,1,0,3,3,26,7,3.52,101.92
6,4,3,1,4,1,0,3,3,22,4.2,3.18,113.64
4,14,3,1,6,1,0,4,5,65,14,5,115.38
7,3,3,1,4,1,0,4,2,45,15.56,3.51,64
10,16,3,1,4,1,0,3,3,32,27.76,3.36,55.94
10,6,3,1,5,1,0,3,3,34,14.13,3.47,67.65
10,6,3,1,4,1,0,4,4,31,7,3.78,66.13
9,7,3,1,4,1,0,4,2,43,11,3.89,97.67
7,6,3,1,4,1,0,3,4,35,14.44,2.8,80
10,4,3,4,1,1,1,2,1,58,9,6.5,43.97
4,3,2,1,4,1,0,5,4,90,30,3.63,84.44
9,4,3,1,5,2,0,3,5,45,16.26,2.34,73.33
10,6,3,4,1,1,0,3,1,35,5.56,6.3,62.86
18,8,2,1,1,1,1,1,1,86,15,6,37.79
7,6,3,1,4,1,0,2,2,35,19.85,3.6,71.43
10,6,3,1,5,1,0,3,5,35,9,3.8,65.14
6,10,3,1,3,1,0,2,2,22,13.55,2.34,84.09
1,6,2,1,6,1,0,5,5,42,7,6,366.67
10,16,3,1,3,1,0,3,4,35,10,3.21,45.71
8,6,3,1,4,1,0,3,2,30,9,3.69,75
4,6,3,1,5,1,0,3,4,30,14.11,3.96,73.33
7,20,3,1,2,1,0,3,4,31,8,3.66,108.06
5,7,2,1,7,2,0,4,7,50,10,3.72,240
6,4,3,1,4,1,0,2,2,25,10.9,3.05,78
5,7,3,1,4,1,1,5,3,56,11,5.3,77.68
10,15,3,1,4,1,1,6,3,60,15,3.43,75
9,6,3,4,2,1,0,3,2,40,22.49,3.47,65
8,5,2,1,6,1,1,5,4,42,10,3.21,142.86
10,6,4,1,5,1,1,5,4,50,24.73,3.64,121
5,5,3,4,2,1,0,3,4,25,5,3.98,180
7,3,3,1,4,1,0,3,3,26,12.73,3.03,100
10,5,3,1,5,1,0,4,3,35,10,3.48,60
6,9,2,1,2,1,1,3,4,30,6,3.77,71.67
5,8,3,1,1,1,1,1,1,55,13,3.95,72.73
8,8,2,1,5,1,0,4,4,35,7,3.58,88.57
10,14,3,1,5,2,0,4,3,35,8,3.89,62.86
9,3,3,1,4,1,0,3,2,35,24.73,3.56,82.86
9,9,2,4,1,1,1,1,1,75,28.85,3.26,78.67
4,8,3,1,5,2,0,3,4,37,13.07,2.83,78.38
5,4,3,1,6,2,0,4,5,38,10,3.72,92.11
1,6,3,1,5,2,0,5,5,60,12,5,166.67
6,7,3,1,5,1,0,5,4,62,21.04,3.79,114.52
1,11,3,1,4,1,0,3,2,50,6.25,8,140
9,2,3,1,5,2,0,4,3,40,8,3.22,112.5
9,3,3,1,5,1,1,5,4,50,18,3.46,64
12,9,3,4,6,1,0,4,5,38,9.5,3.56,81.58
6,6,3,1,5,1,0,3,4,35,9,2.86,140
1,14,3,1,4,1,0,4,2,34,10.6,3.84,94.12
7,18,3,1,4,1,0,3,2,34,21.67,3.3,71.18
7,6,3,1,5,1,0,4,3,25,8,2.36,118
7,18,3,1,4,1,0,4,2,45,9,2.39,103.33
5,2,3,4,4,1,0,4,2,41,11,3.67,96.34
10,17,3,1,4,1,0,3,2,30,10.01,3.57,98.33
5,2,3,4,1,1,0,2,1,50,10,3.88,60
10,14,3,1,4,1,0,3,4,33,19.59,3.49,72.73
4,12,4,4,5,2,0,4,5,108,18,6,83.33
1,11,3,4,2,1,0,3,3,26,8.96,3.49,113.46
10,7,3,4,2,1,0,2,4,41,6,2.77,60.98
10,16,3,1,4,1,0,3,4,30,9,35,53
6,7,3,1,5,1,0,3,4,32,6,5.3,100
6,17,3,1,3,1,0,2,4,35,8,3.23,88.57
5,6,3,1,3,1,0,5,3,45,7,6.2,122.22
10,4,3,1,3,1,0,4,4,47,10,3.7,78.72
9,6,3,1,4,1,0,4,2,38,9,2.77,107.89
10,15,3,1,5,1,0,6,3,52,10,3.78,103.85
1,7,3,1,3,1,0,2,4,21,6,3.46,78.57
9,6,2,4,4,1,0,4,2,45,15.61,3.98,155.33
4,6,3,3,4,1,1,3,4,52,10.5,3.59,54.81
4,6,2,2,5,2,1,4,3,30,5,6,91.67
10,16,3,1,4,1,0,4,3,36,10,3.92,40.28
9,1,3,1,5,2,0,4,5,39,19.79,3.16,82.05
7,18,3,1,3,1,0,2,4,25,5,3.67,79.2
8,6,3,1,5,2,0,3,5,45,16.67,3.55,66.67
8,5,3,1,5,2,0,3,3,40,31.79,2.76,68.75
10,14,3,1,5,2,0,4,4,33,13.19,3.05,66.67
1,7,3,1,1,1,0,3,1,34,16.43,2.47,94.12
3,3,3,1,5,2,0,5,3,42,30.57,3.45,107.14
10,4,3,1,2,1,0,2,3,41,11,3.93,43.9
6,6,2,4,4,1,1,4,3,40,10,3.41,80
10,5,2,4,4,1,1,4,3,35,8.3,2.88,74.29
2,3,3,1,4,1,1,4,2,66,11,6,75.76
11,12,2,1,5,1,1,4,3,38,7.6,3.63,92.11
12,7,3,1,4,1,0,3,2,31,6.2,2.93,83.87
6,9,3,1,6,2,0,3,5,36,8,2.53,161.11
12,7,3,1,4,1,0,3,3,31,9,3.77,74.19
10,5,2,4,1,1,0,3,1,37,10,3.95,45.68
6,7,3,1,5,1,0,10,3,76,19,3.48,101.97
10,16,3,1,4,1,0,4,2,39,10,3.8,42.31
6,6,3,1,4,1,0,4,3,60,31.95,3.94,93.33
5,4,3,1,5,2,0,4,4,40,10,3.22,87.5
8,3,3,1,4,1,0,2,2,24,22.35,3.6,72.92
10,4,2,4,6,2,0,4,5,40,10,3.43,62.5
3,7,3,1,5,2,0,4,3,35,27.9,3.64,110
9,6,3,1,2,1,0,2,2,33.1,20.82,2.76,74.24
10,16,3,1,4,1,0,3,3,39.8,6.7,6,41.54
10,16,3,1,4,1,0,3,3,37,10.2,3.77,37.84
10,7,3,1,4,1,0,4,2,45,12,3.34,111.11
8,11,3,1,5,2,0,3,3,32,14.05,3.16,87.5
6,1,2,1,5,1,1,4,5,50,19.73,3.6,200
10,7,3,1,5,1,0,9,4,38,10,3.9,94.74
8,2,3,1,4,1,0,3,4,35,9,3.68,75.71
10,4,2,4,3,1,1,4,2,45,5.5,8,61.11
6,9,3,1,5,2,0,4,3,30,10,3.81,110
12,7,3,1,4,1,0,3,3,31,7.8,3.47,79.03
10,14,3,1,5,2,0,4,3,32,14.53,2.05,70.31
10,2,3,1,3,1,0,3,2,33,19.29,3.24,28.79
1,11,3,4,1,1,0,3,1,31,10,3.65,138.71
11,11,3,1,3,1,0,3,2,32,8,3.93,45.31
1,9,2,1,7,2,0,8,6,50,10.4,3.54,218
19,8,3,4,5,2,1,4,5,50,14,2.78,51
10,15,2,4,3,1,0,6,3,60,12,5,83.33
6,6,3,4,1,1,0,3,1,36.5,10,3.19,95.92
10,16,3,4,2,1,0,3,3,36,9,3.09,52.78
6,10,3,1,4,1,0,4,3,42,14,3.94,76.19
9,3,3,4,2,1,0,2,3,34,12.95,3.09,111.76
10,16,3,4,2,1,0,3,4,32,8,3.34,53.13
10,13,2,1,5,1,0,4,5,33,16.59,3.91,157.58
1,9,3,1,5,2,0,3,5,35,15.04,3.53,107.14
10,14,3,1,4,1,0,3,3,34,10,3.75,79.41
6,6,3,1,4,1,0,3,2,45,16.68,2.18,75.56
8,6,3,1,4,1,0,3,2,35,27.81,2.87,67.14
10,11,3,1,4,1,0,4,4,37,10,3.53,45.68
7,16,3,1,5,2,0,5,4,30,8,3.23,100
6,10,3,1,4,1,1,4,2,59,17,3.54,74.58
7,19,3,1,5,2,0,4,4,45,10,2.55,118.89
5,3,2,1,7,1,0,6,5,65,13,5,200
28,10,3,4,1,1,0,2,1,35,12,3.91,71.43
10,15,3,1,4,1,0,2,4,30,9,2.58,78.33
5,7,2,4,2,1,0,2,3,86,15,5.7,441.86
10,16,3,4,2,1,0,3,2,32,8,3.68,56.25
8,3,3,1,7,1,0,5,5,38,12,4,197.37
10,16,3,4,1,1,0,3,1,32,8,3.78,56.25
4,6,2,4,1,1,1,3,1,43,9,3.17,88.37
1,3,2,1,5,1,1,3,5,35,29.95,3.84,145.71
10,8,3,1,3,1,0,4,3,36,7,3.47,76.39
8,5,2,1,4,1,0,4,4,35,10,3.86,105.71
6,17,3,4,6,2,0,4,4,35.5,10,3.69,98.69
10,13,2,1,3,1,1,4,4,40,16.36,2.82,97.5
1,1,3,1,6,1,0,5,6,63,13,2.64,171.43
7,19,3,1,5,1,1,4,5,48,11,3.52,110.42
9,7,2,1,4,1,0,2,3,57,26.31,3.69,61.4
8,2,2,1,4,1,1,4,3,39,13.14,3.6,71.79
9,11,2,1,4,1,1,6,3,45,8,2.82,148.89
8,10,4,1,5,2,0,3,3,33,28.23,3.28,77.27
10,8,3,1,3,1,0,4,4,35,5.83,6,80
10,16,3,4,1,1,0,3,1,34,9.7,2.46,43.24
18,7,2,1,4,1,0,4,2,54,13.5,3.17,104.63
1,3,3,1,4,1,0,4,2,54,13,3.97,81.48
5,3,2,1,5,1,1,3,3,45,18.3,2.61,78.89
6,5,3,1,7,1,0,4,7,42,6.89,6.1,226.19
4,8,3,1,4,1,0,4,4,52,34.6,3.61,54.81
4,13,3,1,5,2,0,3,5,31,9,2.25,63.87
3,6,3,1,5,2,0,7,3,45,11.25,2.52,82.22
5,3,2,1,5,1,1,4,5,61,4.69,13,74.59
10,16,3,1,4,1,0,3,3,31,11.08,3.64,45.16
8,4,3,4,1,1,0,2,1,34,8,3.57,76.47
8,8,3,1,5,1,0,4,5,40,10,3.8,70
1,7,3,1,5,2,0,3,5,42,10,3.69,123.81
12,6,3,1,5,1,0,3,4,33,8,3.54,84.85
1,11,3,4,2,1,0,3,2,28,13.32,3.65,105.36
6,7,2,1,3,1,1,3,4,113,108.79,2.8,141.59
12,4,3,1,5,1,1,4,5,47,9.4,5,63.83
9,10,2,1,5,1,1,4,5,70,15,3.57,221.43
10,13,2,1,3,1,0,4,3,83,58.3,2.97,91.57
7,20,3,1,5,2,0,3,3,43,29.84,3.49,69.77
10,10,3,4,2,1,0,3,2,35,10,2.32,46.29
4,8,3,1,1,1,0,3,1,36,10,2.66,83.33
6,17,3,1,5,1,0,2,4,11,2.7,3.55,122.73
10,11,3,4,2,1,0,3,3,32,8,4,44.38
8,1,3,1,5,2,0,4,5,39,9,3.83,111.54
6,10,3,1,4,1,0,3,2,36,26.38,3.56,55.56
10,16,3,1,4,1,0,4,3,36,14.56,3.25,47.78
6,4,3,1,3,1,0,2,2,22,8.71,3.48,84.09
10,11,3,4,2,1,0,3,2,32,8,3.79,50
1,7,3,1,6,1,1,8,5,60,14,3.62,208.33
11,6,3,1,5,2,0,3,3,38,11,3.74,94.74
9,10,3,1,5,2,0,3,5,35,5,7,77.14
8,4,3,1,4,1,0,4,4,42,25.07,3.68,66.67
8,3,3,1,1,1,0,1,1,38,36.07,3.08,52.63
4,11,3,1,5,1,0,6,3,40,18.4,3.51,70
10,11,3,1,4,1,0,4,4,37,17.94,2.78,43.24
6,12,3,1,3,1,0,4,2,35,8.5,3.36,97.14
6,10,3,1,5,2,1,8,5,64,13,5,78.13
4,9,3,1,4,1,0,3,2,35,12.36,3.7,68.57
9,3,3,4,6,1,0,6,5,45,20.03,3.29,122.22
8,4,3,1,4,1,0,4,2,45,39.08,3.56,51.11
10,12,4,1,5,2,0,5,5,55,40.25,3.93,101.82
9,5,3,1,4,1,0,4,2,45,38.42,3.18,142.22
7,6,3,1,5,1,0,5,3,34,8,3.76,92.65
10,14,2,1,3,1,0,3,4,34,10,35,72.06
6,16,3,4,2,1,0,3,2,30,5.56,5.4,90
8,3,3,1,5,1,0,3,5,30,9,3.77,80
5,7,3,1,4,1,0,4,2,43,11.25,2.71,227.91
4,1,3,1,6,2,1,5,4,47,9,3.71,117.02
8,11,3,1,1,1,0,3,1,51,7.73,6.6,96.08
10,10,3,4,1,1,0,3,1,32,8,3.22,53.13
1,14,3,4,1,1,0,3,1,18,6,3.66,69.44
9,5,3,1,2,1,0,2,2,32,4.38,7.3,100
3,7,2,4,5,2,0,4,5,53,12,3.77,98.11
9,9,2,1,6,2,0,4,5,35,9,2.19,65.71
8,4,3,4,1,1,0,3,1,35,23.26,2.69,65.71
4,12,3,1,5,1,0,4,4,41,10,2.73,65.85
8,8,3,1,5,2,0,3,3,40,10,3.88,70
